6635????          xor ax,0x????
3139              xor [ecx],edi
3141??            xor [ecx+0x??],eax
3142??            xor [edx+0x??],eax
3143??            xor [ebx+0x??],eax
3144????          xor [eax+edx*4+0x??],eax
3145??            xor [ebp+0x??],eax
3146??            xor [esi+0x??],eax
3147??            xor [edi+0x??],eax
3148??            xor [eax+0x??],ecx
3149??            xor [ecx+0x??],ecx
314A??            xor [edx+0x??],ecx
314B??            xor [ebx+0x??],ecx
314C????          xor [eax+edx*4+0x??],ecx
314D??            xor [ebp+0x??],ecx
314E??            xor [esi+0x??],ecx
314F??            xor [edi+0x??],ecx
3150??            xor [eax+0x??],edx
3151??            xor [ecx+0x??],edx
3152??            xor [edx+0x??],edx
3153??            xor [ebx+0x??],edx
3154????          xor [eax+edx*4+0x??],edx
3155??            xor [ebp+0x??],edx
3156??            xor [esi+0x??],edx
3157??            xor [edi+0x??],edx
3158??            xor [eax+0x??],ebx
3159??            xor [ecx+0x??],ebx
315A??            xor [edx+0x??],ebx
3161??            xor [ecx+0x??],esp
3162??            xor [edx+0x??],esp
3163??            xor [ebx+0x??],esp
3164????          xor [eax+edx*4+0x??],esp
3165??            xor [ebp+0x??],esp
3166??            xor [esi+0x??],esp
3167??            xor [edi+0x??],esp
3168??            xor [eax+0x??],ebp
3169??            xor [ecx+0x??],ebp
316A??            xor [edx+0x??],ebp
316B??            xor [ebx+0x??],ebp
316C????          xor [eax+edx*4+0x??],ebp
316D??            xor [ebp+0x??],ebp
316E??            xor [esi+0x??],ebp
316F??            xor [edi+0x??],ebp
3170??            xor [eax+0x??],esi
3171??            xor [ecx+0x??],esi
3172??            xor [edx+0x??],esi
3173??            xor [ebx+0x??],esi
3174????          xor [eax+edx*4+0x??],esi
3175??            xor [ebp+0x??],esi
3176??            xor [esi+0x??],esi
3177??            xor [edi+0x??],esi
3178??            xor [eax+0x??],edi
3179??            xor [ecx+0x??],edi
317A??            xor [edx+0x??],edi
31??????????      xor [eax+0x????????],edx
322B              xor ch,[ebx]
322F              xor ch,[edi]
3230              xor dh,[eax]
3231              xor dh,[ecx]
3232              xor dh,[edx]
3233              xor dh,[ebx]
3234??            xor dh,[eax+edx*4]
3236              xor dh,[esi]
3237              xor dh,[edi]
3238              xor bh,[eax]
3239              xor bh,[ecx]
3241??            xor al,[ecx+0x??]
3242??            xor al,[edx+0x??]
3243??            xor al,[ebx+0x??]
3244????          xor al,[eax+edx*4+0x??]
3245??            xor al,[ebp+0x??]
3246??            xor al,[esi+0x??]
3247??            xor al,[edi+0x??]
3248??            xor cl,[eax+0x??]
3249??            xor cl,[ecx+0x??]
324A??            xor cl,[edx+0x??]
324B??            xor cl,[ebx+0x??]
324C????          xor cl,[eax+edx*4+0x??]
324D??            xor cl,[ebp+0x??]
324E??            xor cl,[esi+0x??]
324F??            xor cl,[edi+0x??]
3250??            xor dl,[eax+0x??]
3251??            xor dl,[ecx+0x??]
3252??            xor dl,[edx+0x??]
3253??            xor dl,[ebx+0x??]
3254????          xor dl,[eax+edx*4+0x??]
3255??            xor dl,[ebp+0x??]
3256??            xor dl,[esi+0x??]
3257??            xor dl,[edi+0x??]
3258??            xor bl,[eax+0x??]
3259??            xor bl,[ecx+0x??]
325A??            xor bl,[edx+0x??]
3261??            xor ah,[ecx+0x??]
3262??            xor ah,[edx+0x??]
3263??            xor ah,[ebx+0x??]
3264????          xor ah,[eax+edx*4+0x??]
3265??            xor ah,[ebp+0x??]
3266??            xor ah,[esi+0x??]
3267??            xor ah,[edi+0x??]
3268??            xor ch,[eax+0x??]
3269??            xor ch,[ecx+0x??]
326A??            xor ch,[edx+0x??]
326B??            xor ch,[ebx+0x??]
326C????          xor ch,[eax+edx*4+0x??]
326D??            xor ch,[ebp+0x??]
326E??            xor ch,[esi+0x??]
326F??            xor ch,[edi+0x??]
3270??            xor dh,[eax+0x??]
3271??            xor dh,[ecx+0x??]
3272??            xor dh,[edx+0x??]
3273??            xor dh,[ebx+0x??]
3274????          xor dh,[eax+edx*4+0x??]
3275??            xor dh,[ebp+0x??]
3276??            xor dh,[esi+0x??]
3277??            xor dh,[edi+0x??]
3278??            xor bh,[eax+0x??]
3279??            xor bh,[ecx+0x??]
327A??            xor bh,[edx+0x??]
32??????????      xor dl,[eax+0x????????]
332B              xor ebp,[ebx]
332F              xor ebp,[edi]
3330              xor esi,[eax]
3331              xor esi,[ecx]
3332              xor esi,[edx]
3333              xor esi,[ebx]
3334??            xor esi,[eax+edx*4]
3336              xor esi,[esi]
3337              xor esi,[edi]
3338              xor edi,[eax]
3339              xor edi,[ecx]
3341??            xor eax,[ecx+0x??]
3342??            xor eax,[edx+0x??]
3343??            xor eax,[ebx+0x??]
3344????          xor eax,[eax+edx*4+0x??]
3345??            xor eax,[ebp+0x??]
3346??            xor eax,[esi+0x??]
3347??            xor eax,[edi+0x??]
3348??            xor ecx,[eax+0x??]
3349??            xor ecx,[ecx+0x??]
334A??            xor ecx,[edx+0x??]
334B??            xor ecx,[ebx+0x??]
